SATKER,DINAS KESEHATANANY,,,,,,,,,,,,
Nama Barang,ANY,,,,,,,,,,,,
,,,,,,,,,,,,,
Provinsi,Kota,SATKER,SKPD,Gudang,Jenis Barang,Kode Barang,No,Tanggal Beli,Nama Barang,Satuan,Jumlah,Harga,Total Harga
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,2236,120.,2020-09-28,TISSUE,Buah,35,15000,525000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,5708,121.,2020-09-28,TIssue Basah,Buah,7,25000,175000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,1077,124.,2020-07-22,keranjang sampah plastik,Buah,12,20000,240000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,1077,125.,2020-09-28,keranjang sampah plastik,Buah,6,20000,120000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,7428,126.,2020-09-28,pasta gigi,Buah,53,10000,530000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,2180,127.,2020-09-28,sabun cuci,Buah,36,35000,1260000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,7427,129.,2020-09-28,sikat gigi,Buah,54,10000,540000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,217,130.,2020-09-09,wipol,Buah,2,25000,50000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,217,131.,2020-09-28,wipol,Buah,20,25000,500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Makanan,6185,159.,2020-09-09,Air mineral botol,doz,4,65000,260000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Makanan,6185,160.,2020-09-28,Air mineral botol,doz,3,65000,195000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Makanan,6823,161.,2020-09-28,Gula pasir,kg,10,20000,200000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Makanan,5845,162.,2020-07-22,Kopi,Bungkus,88,2000,176000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Makanan,5845,163.,2020-09-09,Kopi,Bungkus,100,2000,200000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Makanan,5845,164.,2020-09-28,Kopi,Bungkus,75,2000,150000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Makanan,18459,166.,2020-09-28,Teh celup Sachet (isi 5 kantong),Sachset,124,2000,248000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,5615,679.,2020-07-21,APD Faceshield,pcs,25,60000,1500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,1519,684.,2020-07-22,APD Google,pcs,37,44275,1638175
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,12020,686.,2020-07-22,Apron,pcs,2410,5000,12050000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,22015,689.,2020-09-01,Baju APD,Buah,37,225000,8325000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,10795,690.,2020-07-21,Baju Hazmat,Buah,21,290000,6090000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,12485,691.,2020-09-01,Baju Pelindung / Apron,kotak,2,220000,440000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,11352,693.,2020-09-28,Clorin,Botol,6,30000,180000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,8575,694.,2020-07-22,Disposible Labcoat,pcs,500,5000,2500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,5742,695.,2020-07-01,Disposible Shoes Cover,kotak,2,100000,200000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,5742,696.,2020-09-28,Disposible Shoes Cover,kotak,14,100000,1400000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,21873,697.,2020-07-22,FACE SHIELD,Buah,8,245000,1960000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,22017,698.,2020-07-22,Faceshield pelindung wajah,pcs,57,44275,2523675
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,6265,699.,2020-07-21,Goggle,pcs,21,90000,1890000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,18857,701.,2020-09-01,Gunting up heating,pcs,2,27500,55000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,11923,710.,2020-07-01,Hair Cup,kotak,33,100000,3300000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,11923,711.,2020-09-28,Hair Cup,kotak,13,100000,1300000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,7124,713.,2020-07-22,Hand Scoon Non Steril,box,5,52206,261030
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,1207,714.,2020-07-22,Hand Scoon Steril,box,13182,3993,52635726
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,6264,715.,2020-07-22,Handsanitizer Gel 500 ML,Botol,25,105000,2625000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,6264,716.,2020-09-28,Handsanitizer Gel 500 ML,Botol,4,105000,420000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,22014,718.,2020-09-01,Kacamata APD (GOGGLE),Buah,1,90000,90000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,9116,720.,2020-09-01,Kantong Plastik Limbah Medis,lembar,110,4750,522500
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,22013,728.,2020-09-01,MAsker Bedah,kotak,3,185000,555000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,9002,729.,2020-07-01,MAsker N-95,pcs,75,140000,10500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,9002,730.,2020-09-28,MAsker N-95,pcs,225,140000,31500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,9131,735.,2020-09-01,Masker N - 95,kotak,2,2650000,5300000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,6122,736.,2020-07-21,Masker Tali (Remedi),box,70,185000,12950000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,2402,737.,2020-07-22,Masker tali (Jeva),pcs,231,10000,2310000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,4356,740.,2020-07-22,Nurse Cup Remedi,pcs,200,550,110000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,19784,742.,2020-09-01,SARUNG TANGAN DISPOSIBLE STERIL,kotak,3,110000,330000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,21871,745.,2020-07-22,SEPATU BOOT (PASANG),Pasang,7,175000,1225000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,6973,746.,2020-07-22,SHOE COVER,pcs,100,924,92400
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,9118,751.,2020-09-01,Segel Lakban,Buah,9,17500,157500
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,6248,752.,2020-07-21,Sepatu APD Boot,Pasang,25,150000,3750000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,6248,753.,2020-09-01,Sepatu APD Boot,Pasang,6,150000,900000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,11998,755.,2020-09-01,Styrofoam Box limbah Medis,Buah,43,74000,3182000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,11574,756.,2020-07-22,Surgical gown kit a1,pcs,110,150000,16500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Perlengkapan Kesehatan,11574,757.,2020-09-28,Surgical gown kit a1,pcs,35,150000,5250000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Alat Listrik dan Elektronik (Lampu Pijar. Battery Kering),1736,839.,2020-09-28,Bola Lampu,Buah,3,50000,150000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Alat Listrik dan Elektronik (Lampu Pijar. Battery Kering),1015,842.,2020-07-27,Kabel gulung,Buah,3,50000,150000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Alat Listrik dan Elektronik (Lampu Pijar. Battery Kering),1015,843.,2020-09-28,Kabel gulung,Buah,1,50000,50000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,13546,850.,2020-07-22,Ember(RT),Buah,11,20000,220000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,13546,851.,2020-09-28,Ember(RT),Buah,4,20000,80000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,14936,852.,2020-07-22,GAYUNG,Buah,20,10000,200000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,14936,853.,2020-09-28,GAYUNG,Buah,5,10000,50000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,13567,854.,2020-09-28,Gelas,Set,2,50000,100000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,13689,855.,2020-09-28,SABUN CUCI TANGAN,Buah,27,30000,810000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,22689,856.,2020-07-01,SPRAI + SARUNG BANTAL,pcs,25,150000,3750000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,9965,857.,2020-09-28,Tambler,Buah,30,50000,1500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan & Perlengkapan Rumah Tangga,13540,858.,2020-09-28,Toples kecil,Buah,33,20000,660000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Obat Obatan,6018,888.,2020-07-22,Legres (1),kotak,14,192900,2700600
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Obat Obatan,21944,889.,2020-06-02,Legres (Multivitamin/Mineral/Herbal),Kapsul,4946,6430,31802780
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Bahan Obat Obatan,10367,890.,2020-07-22,MAdu,Botol,14,72500,1015000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Bahan Makanan,15629,165.,2020-05-06,SUSU BERUANG,Kaleng,160,9000,1440000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,5615,680.,2020-04-28,APD Faceshield,pcs,69,60500,4174500
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,5615,681.,2020-05-06,APD Faceshield,pcs,114,60500,6897000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,5615,682.,2020-05-14,APD Faceshield,pcs,6,60500,363000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,5615,683.,2020-08-14,APD Faceshield,pcs,30,60500,1815000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,702.,2020-05-13,HAZMAT/APD,Buah,708,150000,106200000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,703.,2020-05-14,HAZMAT/APD,Buah,12,150000,1800000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,704.,2020-05-18,HAZMAT/APD,Buah,100,150000,15000000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,705.,2020-05-19,HAZMAT/APD,Buah,100,150000,15000000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,706.,2020-05-22,HAZMAT/APD,Buah,150,150000,22500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,707.,2020-05-27,HAZMAT/APD,Buah,300,150000,45000000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,708.,2020-06-04,HAZMAT/APD,Buah,11,150000,1650000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,21870,709.,2020-08-27,HAZMAT/APD,Buah,75,150000,11250000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,22152,723.,2020-04-09,MASKER (LEMBAR),lembar,1250,7000,8750000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,22152,724.,2020-04-28,MASKER (LEMBAR),lembar,1000,7000,7000000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,22152,725.,2020-05-19,MASKER (LEMBAR),lembar,500,7000,3500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,22152,726.,2020-06-04,MASKER (LEMBAR),lembar,800,7000,5600000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,22152,727.,2020-08-14,MASKER (LEMBAR),lembar,500,7000,3500000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,1206,733.,2020-04-08,Masker Kain,lembar,51,10000,510000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,1206,734.,2020-04-23,Masker Kain,lembar,500,10000,5000000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Pihak Ketiga (Covid19),Perlengkapan Kesehatan,22367,741.,2020-04-23,SABUN CUCI TANGAN (BOTOL),Botol,12,30000,360000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Provinsi,Obat-Obatan,16062,172.,2020-09-02,"ADS 0,05 ml",Buah,980,1518,1487640
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Provinsi,Obat-Obatan,16062,173.,2020-10-01,"ADS 0,05 ml",Buah,1600,1518,2428800
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Provinsi,Obat-Obatan,18254,174.,2020-10-01,"ADS 0,5 ml Harga 2",Buah,10600,1240,13144000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Provinsi,Obat-Obatan,16063,175.,2020-09-02,ADS5 ml,Buah,396,1500,594000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Provinsi,Obat-Obatan,16063,176.,2020-10-01,ADS5 ml,Buah,1800,1500,2700000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,Hibah Provinsi,Obat-Obatan,20683,179.,2020-10-05,ALBENDAZOLE,kotak,42,46300,1944600
